BlockId,EventSequence
blk_5647760196018207394,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-202775138379690649,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-8120118743897862909,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_8376667364205250596,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-1942808544656255720,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 2, 2, 5, 5, 5, 1, 1, 1]"
blk_3947106522258141922,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 12, 4, 1]"
blk_-4513615671112005170,"[3, 3, 6, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_5703440264997337028,"[3, 6, 3, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-66330728533676520,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_1998424538687454859,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_3175731177970777720,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_5117857107611435103,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_5727159100405160712,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-6535155942125829332,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-7742258871275669707,"[3, 6, 3, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-7861579849076010389,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-8476126489496204177,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-2372508938534145884,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_4649698331936539655,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_9069966081657556515,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-2444160001954743483,"[3, 3, 6, 3, 1, 2, 1, 2, 1, 2, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-2828839543885026602,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-3940941529251864773,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 5, 5, 5, 1, 1, 1]"
blk_8609819439677503690,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-8281945757273050140,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_2825871331379974767,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-774246298521956028,"[3, 3, 3, 6, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-5649479540791129974,"[3, 3, 3, 6, 2, 1, 2, 1, 1, 4, 2, 4, 4, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 2, 5, 5, 5, 1, 1, 1]"
blk_-8013855621109800549,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_177394776382448614,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 5, 5, 5, 1, 1, 1]"
blk_-2398209593415798905,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-6370470857048627387,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_7475438553401908725,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-8186438745381579117,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-105450231192318816,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-1385756122847916710,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 5, 5, 5, 1, 1, 1]"
blk_2080109799967615857,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_3098154771341398925,"[3, 3, 3, 6, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_3738211383445750914,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-4309280423174037990,"[3, 3, 6, 3, 2, 1, 4, 2, 1, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_584104991019184413,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6609646171038203219,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6740695140894845846,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6835995323369082616,"[3, 3, 6, 3, 2, 1, 4, 2, 2, 1, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-7198899606504196854,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_7955481321933797799,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_7956543127401791181,"[3, 3, 6, 3, 1, 2, 1, 4, 4, 2, 1, 2, 4, 2, 2, 2, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 10, 1]"
blk_8026466674001363449,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 5, 5, 5, 1, 1, 1]"
blk_-2850818623433938591,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6227055072516687391,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_1937926427363440853,"[3, 6, 3, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-2682415100025107597,"[3, 6, 3, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-2814588473145762869,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_634338240549205708,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 8, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_7474637556625667220,"[3, 3, 6, 3, 1, 2, 1, 2, 1, 4, 4, 2, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-7911463493785581853,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_967160175355936210,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_3941533870808561940,"[3, 3, 6, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_40441923226500563,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6309418393114897475,"[3, 6, 3, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-6790654856691185731,"[3, 3, 3, 6, 2, 1, 4, 2, 1, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_8558795046002911094,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-3667585438930153850,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_5479015932651254774,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6918081507126070602,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_8046151943293893685,"[3, 6, 3, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_3461505966191484945,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-4341181125838883663,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_5775293647706867248,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_6288745377407023095,"[3, 6, 3, 3, 2, 1, 4, 2, 1, 2, 1, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-3076705858972714475,"[3, 3, 6, 3, 2, 2, 1, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_4521164666406024155,"[3, 3, 6, 3, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-5835224384325268050,"[3, 3, 3, 6, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-3102267849859399193,"[3, 3, 6, 11, 2, 16, 2, 13]"
blk_-3776330106018304557,"[3, 3, 3, 6, 2, 1, 2, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 5, 5, 5, 1, 1, 1]"
blk_-3865158146925189370,"[3, 3, 6, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-6108780682959356968,"[3, 6, 3, 3, 2, 2, 1, 1, 4, 4, 2, 1, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_6597014667441085597,"[3, 3, 6, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-9025459096044337508,"[3, 6, 3, 3, 2, 1, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_-1477913034248457629,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
blk_1613550655988246573,"[3, 6, 3, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 2, 5, 5, 5, 1, 1, 1]"
blk_2074627648226805983,"[3, 3, 6, 3, 2, 1, 2, 1, 2, 1, 4, 4, 4, 2, 2, 2, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 5, 5, 5, 1, 1, 1]"
